case_num,instance_id,repo,language,resolution_rate,total_runs,passes,all_fail,patch_hunks,f2p_count,test_patch_chars,has_test_prestaging,before_repo_set_cmd_present,leakage_signals,audit_status,human_verdict,verdict_reason,audited_by,audit_date,contamination_type,failure_reason,confidence,agent_understood_problem,agent_addressed_spec
1,instance_NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,js,57%,14,8,NO,106,1,652,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(98%): agent_error — This task looks clean. The fail-to-pass test exercises the public API `plugins.toggleActive` with malformed plugin identifiers (`'\t\nnodebb-plugin'` and `'notaplugin'`) and expects rejection with `[[,gpt-5.4-20260305-blind,2026-04-13 09:28:50,,agent_error,0.98,False,False
2,instance_flipt-io__flipt-dbe263961b187e1c5d7fe34c65b000985a2da5a0,flipt-io/flipt,go,43%,14,6,NO,9,3,4051,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(98%): agent_error — This task appears clean. The problem statement explicitly says polling goroutines in Git/local/S3/Azure/OCI backends need lifecycle management and that tests expect calling `Close()` on a `SnapshotSto,gpt-5.4-20260305-blind,2026-04-13 09:29:28,,agent_error,0.98,False,False
3,instance_tutao__tutanota-befce4b146002b9abc86aa95f4d57581771815ce-vee878bb72091875e912c52fc32bc60ec3760227b,tutao/tutanota,ts,64%,14,9,NO,8,78,1521,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(98%): agent_error — This task appears clean. The problem statement explicitly says SendMailModel tests are unnecessarily wrapping Map objects in Promise.resolve() when calling initWithDraft, and the F2P test patch direct",gpt-5.4-20260305-blind,2026-04-13 09:30:07,,agent_error,0.98,False,False
4,instance_protonmail__webclients-c6f65d205c401350a226bb005f42fac1754b0b5b,protonmail/webclients,js,0%,12,0,YES,30,21,6700,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): timeout — This task is contaminated. The agent clearly understood the general goal—add stable test hooks across conversation and message views—and it was working in exactly the right files. However, the test pa",gpt-5.4-20260305-blind,2026-04-13 09:31:07,approach_lock,timeout,0.97,True,False
5,instance_flipt-io__flipt-86906cbfc3a5d3629a583f98e6301142f5f14bdb-v6bea0cc3a6fc532d7da914314f2944fc1cd04dee,flipt-io/flipt,go,0%,11,0,YES,7,21,1627,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(99%): contamination — This is a clear contamination case, specifically a task-patch mismatch. The benchmark prompt describes a cache-reference deletion feature: fixed references should be protected, non-fixed references sh",gpt-5.4-20260305-blind,2026-04-13 09:31:42,task_patch_mismatch,contamination,0.99,False,False
6,instance_protonmail__webclients-32ff10999a06455cb2147f6873d627456924ae13,protonmail/webclients,js,67%,12,8,NO,12,1,775,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): timeout — This task appears clean. The stated requirement is narrowly scoped: in the Contact Group Details modal, replace the count label from “N members” to “N email addresses,” with correct singular/plural ha",gpt-5.4-20260305-blind,2026-04-13 09:32:12,,timeout,0.97,False,False
7,instance_internetarchive__openlibrary-92db3454aeaa02f89b4cdbc3103f7e95c9759f92-v2c55207218fb8a0138425cbf7d9675272e240b90,internetarchive/openlibrary,python,77%,13,10,NO,11,1,1239,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(91%): timeout — This task shows direct contamination in the F2P test. The stated requirement is behavioral/configurational: keep the Solr boolean clause limit aligned with the reading-log filter cap in `bookshelves.p,gpt-5.4-20260305-blind,2026-04-13 09:33:50,test_coupling,timeout,0.91,False,False
8,instance_protonmail__webclients-2dce79ea4451ad88d6bfe94da22e7f2f988efa60,protonmail/webclients,js,0%,11,0,YES,20,6,5221,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(96%): contamination — This task shows strong contamination. The issue description is purely user-facing: add clear visual verification indicators for legitimate Proton senders. The agent responded accordingly, exploring `I",gpt-5.4-20260305-blind,2026-04-13 09:35:19,test_coupling,contamination,0.96,True,False
9,instance_flipt-io__flipt-b433bd05ce405837804693bebd5f4b88d87133c8,flipt-io/flipt,go,7%,14,1,NO,28,4,8767,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(92%): contamination — This task shows clear contamination. The problem statement is about externally observable configuration behavior: accept `tracing.exporter: otlp`, default exporter to `jaeger`, default OTLP endpoint t",gpt-5.4-20260305-blind,2026-04-13 09:37:21,test_coupling,contamination,0.92,True,False
10,instance_future-architect__vuls-457a3a9627fb9a0800d0aecf1d4713fb634a9011,future-architect/vuls,go,29%,14,4,NO,1,6,2950,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(89%): contamination — This looks under-specified rather than merely hard. The agent clearly understood the nature of the bug: update the static Windows KB/revision mapping so the detector can report newer monthly updates a,gpt-5.4-20260305-blind,2026-04-13 09:39:15,undiscoverable_requirement,contamination,0.89,True,False
