instance_id,severity,combined_score,excess_patch_score,excess_test_score,vague_spec_score,task_labels,primary_label,label_count,patch_hunks_total,patch_required,patch_ancillary,patch_unrelated,tests_total,tests_aligned,tests_tangential,tests_unrelated,assertions_total,assertions_on_topic,assertions_off_topic,recommendations
astropy__astropy-13398,SEVERE,0.9845,0.6250,0.9161,0.5500,mispatch_approach_mismatch;mispatch_underpatch;mispatch_ancillary_bundling;scope_expansion;mistest_overtest;mistest_deferred_requirement;desc_incomplete,mispatch_approach_mismatch,7,8,0,6,2,4,1,2,1,31,15,16,EXCESS_PATCH: 2/8 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.; EXCESS_TEST: 16/31 assertion(s) test behavior beyond problem scope.; EXCESS_TEST: 1 F2P test(s) are entirely unrelated to the described problem.; VAGUE_SPEC: Problem statement has significant ambiguity (score: 0.55). Multiple valid solutions likely exist.
astropy__astropy-14182,SEVERE,0.9620,0.5000,1.0000,0.4000,mistest_overtest;mistest_customtest;mispatch_overpatch;mispatch_ancillary_bundling;desc_incomplete,mistest_customtest,5,3,1,1,1,1,0,1,0,6,1,5,EXCESS_PATCH: 1/3 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.; EXCESS_TEST: 5/6 assertion(s) test behavior beyond problem scope.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
astropy__astropy-14309,CLEAN,0.0000,0.0000,0.0000,0.3500,clean,clean,1,1,1,0,0,1,1,0,0,1,1,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
astropy__astropy-14365,SEVERE,0.8224,0.2500,0.6667,0.3000,mistest_sneaky_modification;mistest_overtest;mispatch_ancillary_bundling,mistest_sneaky_modification,3,2,1,1,0,3,1,0,2,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; EXCESS_TEST: 2 F2P test(s) are entirely unrelated to the described problem."
astropy__astropy-14369,MINOR,0.3285,0.2000,0.2000,0.4000,mispatch_ancillary_bundling;mistest_undertest,mispatch_ancillary_bundling,2,5,4,0,1,3,1,2,0,1,0,0,EXCESS_PATCH: 1/5 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
astropy__astropy-14508,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
astropy__astropy-14539,SEVERE,0.9694,0.0000,1.0000,0.3000,mistest_overtest;mistest_customtest;mistest_sneaky_modification;desc_hidden_in_hints,mistest_customtest,4,1,1,0,0,4,0,2,2,11,0,11,EXCESS_TEST: 11/11 assertion(s) test behavior beyond problem scope.; EXCESS_TEST: 2 F2P test(s) are entirely unrelated to the described problem.
astropy__astropy-14598,CLEAN,0.0000,0.0000,0.0000,0.4000,hard_but_clean,hard_but_clean,1,2,2,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
astropy__astropy-14995,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,6,6,0,No contamination signals detected. Evaluation criteria appear fair.
astropy__astropy-7166,MINOR,0.2550,0.6667,0.0000,0.4000,mispatch_ancillary_bundling,mispatch_ancillary_bundling,1,3,1,0,2,1,1,0,0,1,0,0,EXCESS_PATCH: 2/3 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
astropy__astropy-7336,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,1,0,No contamination signals detected. Evaluation criteria appear fair.
astropy__astropy-7606,SEVERE,0.7126,0.2500,1.0000,0.3000,mistest_undertest;mistest_overtest;mispatch_ancillary_bundling,mistest_overtest,3,2,1,1,0,1,0,1,0,4,1,3,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; EXCESS_TEST: 3/4 assertion(s) test behavior beyond problem scope."
astropy__astropy-7671,MODERATE,0.4400,0.2500,0.0000,0.4000,mistest_sneaky_modification,mistest_sneaky_modification,1,2,1,1,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40)."
astropy__astropy-8707,MINOR,0.3443,0.1667,0.0000,0.5000,mistest_undertest;mispatch_ancillary_bundling,mispatch_ancillary_bundling,2,6,4,2,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 2 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50)."
astropy__astropy-8872,SEVERE,0.7287,0.1667,0.8000,0.3500,mistest_overtest;mistest_sneaky_modification;mispatch_ancillary_bundling,mistest_overtest,3,3,2,1,0,1,0,1,0,2,1,1,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; EXCESS_TEST: 1/2 assertion(s) test behavior beyond problem scope.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35)."
django__django-10097,CLEAN,0.0000,0.0000,0.0000,0.3500,clean,clean,1,1,1,0,0,438,438,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
django__django-10554,MINOR,0.3414,0.2500,0.0000,0.4000,mispatch_ancillary_bundling;desc_incomplete,mispatch_ancillary_bundling,2,2,1,1,0,2,2,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40)."
django__django-10880,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-10914,CLEAN,0.0000,0.0000,0.0000,0.5000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50).
django__django-10973,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,2,2,0,0,5,5,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-10999,MODERATE,0.4784,1.0000,0.0000,0.3000,mispatch_underpatch;mispatch_overpatch,mispatch_overpatch,2,1,0,0,1,2,2,0,0,1,0,0,EXCESS_PATCH: 1/1 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.
django__django-11066,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11087,MINOR,0.2250,0.3750,0.0000,0.5000,mispatch_ancillary_bundling,mispatch_ancillary_bundling,1,4,1,3,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 3 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50)."
django__django-11095,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,2,2,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11099,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,2,2,0,0,3,3,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11119,CLEAN,0.0000,0.0000,0.0000,0.2000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11133,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11138,MINOR,0.1560,0.0000,0.0000,0.4000,mistest_undertest,mistest_undertest,1,7,7,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-11141,MINOR,0.1650,0.2500,0.0000,0.3000,mispatch_ancillary_bundling,mispatch_ancillary_bundling,1,2,1,1,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-11149,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-11163,CLEAN,0.0000,0.0000,0.0000,0.2000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11179,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11206,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-11211,MODERATE,0.5250,0.0000,0.0000,0.3000,desc_misleading,desc_misleading,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11239,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,2,2,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-11265,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,2,2,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11276,MODERATE,0.5171,0.4167,0.0000,0.3000,mispatch_ancillary_bundling;scope_expansion,scope_expansion,2,6,1,5,0,26,26,0,0,1,0,0,"EXCESS_PATCH: 5 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-11292,MINOR,0.2862,0.2500,0.0000,0.4000,mispatch_ancillary_bundling;mistest_undertest,mispatch_ancillary_bundling,2,4,2,2,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 2 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40)."
django__django-11299,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-11333,MINOR,0.1980,0.3333,0.0000,0.3500,mispatch_ancillary_bundling,mispatch_ancillary_bundling,1,3,1,2,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 2 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35)."
django__django-11400,MINOR,0.2040,0.1250,0.0000,0.4000,mispatch_ancillary_bundling,mispatch_ancillary_bundling,1,4,3,1,0,6,6,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40)."
django__django-11433,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-11451,CLEAN,0.0000,0.0000,0.0000,0.3500,clean,clean,1,1,1,0,0,6,6,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
django__django-11477,SEVERE,0.8527,0.0000,0.0000,0.6000,desc_incomplete;desc_hidden_in_hints;desc_self_referential;scope_expansion;mispatch_overpatch,desc_self_referential,5,1,1,0,0,3,3,0,0,1,0,0,VAGUE_SPEC: Problem statement has significant ambiguity (score: 0.60). Multiple valid solutions likely exist.
django__django-11490,CLEAN,0.0000,0.0000,0.0000,0.3500,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
django__django-11532,SEVERE,0.7039,0.5909,0.0000,0.3000,mispatch_ancillary_bundling;mispatch_overpatch;scope_expansion,scope_expansion,3,11,1,7,3,1,1,0,0,1,0,0,EXCESS_PATCH: 3/11 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.
