instance_id,severity,triage_priority,combined_score,primary_label,all_labels,label_count,plain_english,core_requirement,ep_score,et_score,vs_score,patch_hunks,test_breakdown,has_modified_tests,ambiguity_score,evidence_summary
scikit-learn__scikit-learn-14629,SEVERE,1,0.9978,mispatch_approach_mismatch,"mistest_overtest, mistest_customtest, mistest_undertest, mispatch_approach_mismatch, mispatch_overpatch, mispatch_ancillary_bundling, desc_misleading, desc_hidden_in_hints, scope_expansion",9,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mistest_undertest] Tests don't fully cover the problem. A partial or wrong fix could still pass. | [mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail. | [mispatch_overpatch] The gold patch includes functional changes beyond what the problem asks for. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [desc_misleading] The problem description actively points toward a wrong approach or incorrect root cause. | [desc_hidden_in_hints] Critical solution info (function names, root cause) appears only in the hints text, not the main problem. | [scope_expansion] The fix changes a parent class or broader API than the problem describes -- wider blast radius.","Fix `cross_val_predict(..., method='predict_proba')` to work with `MultiOutputClassifier` without raising an AttributeError due to incorrect access to `estimator.classes_`.",1.0,1.0,0.5,0R/0A/2U,0A/0T/1U,False,0.5,"[mistest_overtest] Only added test is `test_multi_output_classes_`, which asserts properties of `MultiOutputClassifier.classes_` rather than exercising `cross_val_predict(..., method='predict_proba')`. || [mistest_customtest] Test hard-requires `MultiOutputClassifier` to expose a top-level `classes_` and that it is specifically a `list` with length `n_outputs`. || [mistest_undertest] No test calls `cross_val_predict` with `method='predict_proba'` on a `MultiOutputClassifier` or checks the returned probability output."
sympy__sympy-21612,SEVERE,1,0.9938,mispatch_approach_mismatch,"desc_misleading, desc_hidden_in_hints, mispatch_approach_mismatch, mispatch_overpatch, mistest_overtest",5,"[desc_misleading] The problem description actively points toward a wrong approach or incorrect root cause. | [desc_hidden_in_hints] Critical solution info (function names, root cause) appears only in the hints text, not the main problem. | [mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail. | [mispatch_overpatch] The gold patch includes functional changes beyond what the problem asks for. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests.","Fix SymPy's LaTeX parser so that nested fractions in the denominator of a \frac are properly parenthesized, preventing incorrect operator precedence.",1.0,1.0,0.2,0R/0A/1U,0A/0T/1U,False,0.2,"[desc_misleading] Problem statement: ""Latex parsing of fractions yields wrong expression... is parsed to: `((a**3 + b)/c)/1/(c**2)`. Expected is ... The missing brackets in the denominator result in a wrong expression. || [desc_hidden_in_hints] Hints text contains the key correction: ""This is a printing, not a parsing error"" and provides the fix diff targeting `sympy/printing/str.py`. || [mispatch_approach_mismatch] Gold patch changes `sympy/printing/str.py` to treat `Pow` like `Mul` for parentheses: `isinstance(item.base, (Mul, Pow))`."
astropy__astropy-13398,SEVERE,1,0.9845,mispatch_approach_mismatch,"mispatch_approach_mismatch, mispatch_underpatch, mispatch_ancillary_bundling, scope_expansion, mistest_overtest, mistest_deferred_requirement, desc_incomplete",7,"[mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail. | [mispatch_underpatch] The gold patch doesn't fully fix the stated problem, yet tests still pass. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [scope_expansion] The fix changes a parent class or broader API than the problem describes -- wider blast radius. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_deferred_requirement] Tests require features the problem explicitly says are for later ('TODO', 'future work'). | [desc_incomplete] The problem is missing key information -- no repro steps, no affected file, or ambiguous requirements.","Implement a more direct set of coordinate transforms between ITRS and the observed frames (AltAz and HADec) that stays within the Earth-fixed ITRS/topocentric geometry and treats ITRS positions as time-invariant (i.e., does not do time-changing ITRS→ITRS steps).",0.625,0.9161,0.55,0R/6A/2U,1A/2T/1U,False,0.55,"[mispatch_approach_mismatch] Gold patch hunk: astropy/coordinates/builtin_frames/itrs_observed_transforms.py is described as: “adds ITRS↔AltAz/HADec transform functions” but “explicitly synchronizes differing `obstime`/`location` || [mispatch_underpatch] Intent/acceptance: “changing the input ITRS `obstime` does not change the transformed AltAz/HADec result … output frame’s `obstime` exactly … transformation does not attempt to synchronize input/outpu || [mispatch_ancillary_bundling] Gold patch analysis: 6/8 hunks marked ANCILLARY, including __init__.py import/export changes and multiple updates in intermediate_rotation_transforms.py to propagate/preserve `location` through TETE↔I"
scikit-learn__scikit-learn-26194,SEVERE,1,0.9808,mistest_customtest,"desc_misleading, mistest_overtest, mistest_customtest, mistest_sneaky_modification, mispatch_ancillary_bundling",5,"[desc_misleading] The problem description actively points toward a wrong approach or incorrect root cause. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix.","Ensure `sklearn.metrics.roc_curve` does not return thresholds greater than 1 when the input `y_score` contains probability estimates in the [0, 1] range.",0.375,1.0,0.5,1R/3A/0U,0A/0T/2U,True,0.5,"[desc_misleading] Problem statement: ""Ensure `roc_curve` does not return thresholds greater than 1 when ... `y_score` is a probability estimate"" and proposes clipping to keep thresholds ""not ... above 1"". || [mistest_overtest] F2P `test_roc_curve_with_probablity_estimates`: `assert np.isinf(thresholds[0])` (asserts a specific sentinel choice, not merely ""no threshold > 1"" for probability estimates). || [mistest_customtest] F2P `test_roc_curve_with_probablity_estimates` requires `thresholds[0]` be infinite (`np.isinf(thresholds[0])`)."
django__django-11964,SEVERE,1,0.9764,mispatch_approach_mismatch,"mispatch_approach_mismatch, mispatch_overpatch, mistest_overtest, desc_misleading",4,[mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail. | [mispatch_overpatch] The gold patch includes functional changes beyond what the problem asks for. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [desc_misleading] The problem description actively points toward a wrong approach or incorrect root cause.,Ensure that model fields using TextChoices/IntegerChoices return the underlying primitive value type (str/int) rather than the Enum member object when an instance is freshly created/assigned.,1.0,0.0,0.3,0R/0A/1U,2A/0T/0U,False,0.3,"[mispatch_approach_mismatch] Gold patch modifies `django/db/models/enums.py` by changing `Choices.__str__()` to return `self.value` (global enum stringification change). || [mispatch_overpatch] Gold patch changes `Choices.__str__()` in `django/db/models/enums.py`, affecting stringification for all `TextChoices/IntegerChoices` usages project-wide, not just model-field getters/assignments. || [mistest_overtest] F2P tests listed are `model_enums.tests.ChoicesTests::test_str` and `model_enums.tests.ChoicesTests::test_textchoices`, which (by name and alignment with the patch) likely assert `str(ChoicesMember)` "
astropy__astropy-14539,SEVERE,1,0.9694,mistest_customtest,"mistest_overtest, mistest_customtest, mistest_sneaky_modification, desc_hidden_in_hints",4,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [desc_hidden_in_hints] Critical solution info (function names, root cause) appears only in the hints text, not the main problem.","Fix `astropy.io.fits.FITSDiff` so it does not report differences when comparing identical FITS files, particularly when tables contain variable-length array (VLA) columns.",0.0,1.0,0.3,1R/0A/0U,0A/2T/2U,True,0.3,"[mistest_overtest] F2P TEST ANALYSIS: 11/11 assertions marked OFF_TOPIC; includes asserts like `assert len(diff.common_columns) == 11` and `assert diff.common_column_names == set(""abcdefghijk"")` in `test_identical_table || [mistest_customtest] F2P TEST ANALYSIS: `test_different_table_data` asserts exact positions and contents in `diff.diff_values` (e.g. `diff.diff_values[13][0] == (""K"", 0)` and array equality checks on `[0,1]`, `[1,2]`, etc || [mistest_sneaky_modification] F2P TEST ANALYSIS explicitly flags: `Has modified tests: True`."
sympy__sympy-16597,SEVERE,1,0.9691,mistest_sneaky_modification,"mistest_overtest, mistest_undertest, mistest_sneaky_modification, mispatch_overpatch, mispatch_ancillary_bundling, scope_expansion",6,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_undertest] Tests don't fully cover the problem. A partial or wrong fix could still pass. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mispatch_overpatch] The gold patch includes functional changes beyond what the problem asks for. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [scope_expansion] The fix changes a parent class or broader API than the problem describes -- wider blast radius.","Ensure that setting a Symbol as even implies it is finite (i.e., `is_even=True` should make `is_finite` evaluate to True rather than None).",0.5714,1.0,0.3,5R/2A/7U,0A/1T/2U,True,0.3,"[mistest_overtest] F2P TEST ANALYSIS: 34/34 assertions are OFF_TOPIC; 2/3 tests classified UNRELATED || [mistest_undertest] Intent/acceptance criterion: `Symbol('m', even=True).is_finite` should be `True` || [mistest_sneaky_modification] F2P TEST ANALYSIS: Has modified tests: True"
astropy__astropy-14182,SEVERE,1,0.962,mistest_customtest,"mistest_overtest, mistest_customtest, mispatch_overpatch, mispatch_ancillary_bundling, desc_incomplete",5,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mispatch_overpatch] The gold patch includes functional changes beyond what the problem asks for. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [desc_incomplete] The problem is missing key information -- no repro steps, no affected file, or ambiguous requirements.","Allow the `ascii.rst` table writer to accept and honor the `header_rows` argument (e.g., to include units as an additional header line) instead of erroring.",0.5,1.0,0.4,1R/1A/1U,0A/1T/0U,False,0.4,"[mistest_overtest] F2P test `test_rst_with_header_rows` includes OFF_TOPIC assertions unrelated to supporting `header_rows` in `ascii.rst`: `assert tbl['wave'].unit == u.nm`, `assert tbl['response'].unit == u.ct` || [mistest_customtest] The only ON_TOPIC assertion is an exact full-output match: `assert out.getvalue().splitlines() == lines` in `test_rst_with_header_rows` || [mispatch_overpatch] Gold patch Hunk 0 in `astropy/io/ascii/rst.py` removes `start_line = 3` from `SimpleRSTData`, described as affecting FixedWidth data/reader parsing rather than RST writing or `header_rows` support"
pytest-dev__pytest-5840,SEVERE,1,0.9603,mistest_customtest,"mistest_overtest, mistest_customtest, mistest_sneaky_modification, mispatch_ancillary_bundling, desc_incomplete",5,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [desc_incomplete] The problem is missing key information -- no repro steps, no affected file, or ambiguous requirements.","Fix a regression in pytest 5.1.2 on Windows where loading/importing a conftest fails because the path to the project/tests is being normalized to lowercase, breaking module/package resolution.",0.1429,1.0,0.5,5R/2A/0U,0A/2T/0U,True,0.5,[mistest_overtest] F2P tests only assert internal bookkeeping: `assert key in conftest._conftestpath2mod` / `assert key not in conftest._conftestpath2mod` (4/4 assertions marked OFF_TOPIC) || [mistest_customtest] Assertions hardcode an internal implementation detail: membership of a particular `key` in `conftest._conftestpath2mod` || [mistest_sneaky_modification] F2P TEST ANALYSIS: `Has modified tests: True`
django__django-14034,SEVERE,1,0.9556,mispatch_approach_mismatch,"mispatch_underpatch, mispatch_approach_mismatch, mispatch_ancillary_bundling, mistest_overtest",4,"[mispatch_underpatch] The gold patch doesn't fully fix the stated problem, yet tests still pass. | [mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests.",Fix Django's MultiValueField validation so that a subfield marked required=True is not ignored when the overall MultiValueField is configured with required=False and require_all_fields=False.,0.5,0.0,0.5,0R/2A/0U,1A/0T/0U,False,0.5,"[mispatch_underpatch] Problem statement requires changing validation outcome: “When the form is passed empty values for both sub fields, form.is_valid() == True. But I expected is_valid() returns False…” || [mispatch_approach_mismatch] Gold patch hunks are in django/forms/boundfield.py and deal with MultiWidget/required attribute application (per gold patch analysis: “adjusts how the HTML `required` attribute is applied … propagatin || [mispatch_ancillary_bundling] Hunk 0 adds an import of MultiWidget in django/forms/boundfield.py, which is not required to change MultiValueField validation behavior described in the problem."
