instance_id,severity,task_labels,primary_label,label_count,patch_hunks_total,patch_unrelated,has_excess_patch,tests_total,tests_unrelated,has_excess_test,has_modified_tests,vague_spec_score,legitimacy,suggested_fix,mentioned_entities,recommendations
instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,SEVERE,approach_lock;excess_tests;excess_patch;underspec,underspec,4,17,2,True,3,0,False,False,0.4500,bug,"Make ACP show explicit email states (validated, pending, expired, missing), ensure confirmation remains valid until explicit expiration rather than depending only on key expiration, and add fallback l",,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 3 circular dependency(ies) — tests [Key methods should return multiple keys and null if key doesn't exist, Key methods should return empty array if keys is empty array or falsy, test/user/emails.js | email confirmation (library methods) canSendValidation should return true if it has been long enough to re-send confirmation] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity."
instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,MINOR,excess_patch;unclear_spec;underspec,excess_patch,3,5,2,True,4,0,False,False,0.2000,enhancement,Move or update the `hide_qt_warning` tests from `log.py` to `qtlog.py` so they continue checking the same filtering behavior in the new module location.,log.py;qtlog.py;hide_qt_warning,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 4 circular dependency(ies) — tests [test_unfiltered, test_filtered, test_filtered, test_filtered] require UNRELATED patch hunks to pass."
instance_NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,SEVERE,approach_lock;underspec,underspec,2,6,0,False,4,0,False,False,0.4000,feature_request,"Create a dedicated router file for `.well-known` assets, move `.well-known/change-password` into it, and add a basic implementation of the `.well-known/webfinger` endpoint.",,VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_qutebrowser__qutebrowser-c580ebf0801e5a3ecabc54f327498bb753c6d5f2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,SEVERE,approach_lock;underspec,approach_lock,2,6,0,False,11,0,False,False,0.2000,bug,"Blocking should consider a widened sequence of hostnames derived from the request host and return blocked on the first match in either the runtime or config block sets, while short-circuiting whitelis",,No contamination signals detected.
instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,MINOR,underspec,underspec,1,8,0,False,4,0,False,False,0.2000,bug,,,No contamination signals detected.
instance_ansible__ansible-a26c325bd8f6e2822d9d7e62f77a424c1db4fbf6-v0f01c69f1e2528b935359cfe578530722bca2c59,SEVERE,underspec;excess_tests;sneaky_edit;excess_patch;approach_lock,underspec,5,27,6,True,6,0,True,True,0.1000,bug,"Add a new `use_netrc` parameter, defaulting to `true`, in the `uri` module and underlying request logic; when set to `false`, ignore `.netrc` credentials so explicitly set `Authorization` headers are ",.netrc,EXCESS_PATCH: 6 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 1 OFF_TOPIC assertions beyond problem scope.
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,MINOR,excess_patch,excess_patch,1,6,4,True,1,0,False,False,0.3000,enhancement,"Expose a method on the entity model that accepts a property identifier and returns the list of valid values from that property's statements, preserving order, skipping invalid entries, and returning a",WikidataEntity,EXCESS_PATCH: 4 hunk(s) modify code unrelated to the problem description.
instance_qutebrowser__qutebrowser-f631cd4422744160d9dcf7a0455da532ce973315-v35616345bb8052ea303186706cec663146f0f184,SEVERE,approach_lock;excess_tests;sneaky_edit;underspec,excess_tests,4,10,2,True,38,7,True,True,0.5000,feature_request,"Add a setting that lets users configure changelog display by upgrade type, for example showing it only for minor or major releases.",,EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 2 OFF_TOPIC assertions; 7 UNRELATED tests beyond problem scope.; VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037,MODERATE,excess_tests;sneaky_edit;underspec,excess_tests,3,52,0,False,46,3,True,True,0.5000,bug,Initialize the Kubernetes service's session uploader so it creates the async upload directory on disk; stop fully caching `clusterSession` state that is request-specific or cluster-specific; emit audi,proxy/forwarder.go;clusterSession,EXCESS_TEST: 3 UNRELATED tests beyond problem scope.; VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_navidrome__navidrome-7073d18b54da7e53274d11c9e2baef1242e8769e,SEVERE,excess_patch;approach_lock,excess_patch,2,43,2,True,3,0,False,False,0.3000,enhancement,"Rename or otherwise change the client type and all of its methods to be unexported/package-private within each music-service package, while keeping external access routed through the existing agent in",Client,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 3 circular dependency(ies) — tests [TestLastFM, TestListenBrainz, TestSpotify] require UNRELATED patch hunks to pass."
